instrument,Date,time,CLOSE,HIGH,LOW,OPEN,VOLUME
NIFTY,20160502,09:16,7823.00,7823.00,7806.65,7807.75,283575,0
NIFTY,20160502,09:17,7806.95,7813.30,7806.25,7812.25,154200,0
NIFTY,20160502,09:18,7811.05,7811.45,7805.25,7806.35,82875,0
NIFTY,20160502,09:19,7805.70,7805.70,7795.00,7798.40,188175,0
NIFTY,20160502,09:20,7798.70,7800.65,7797.45,7800.65,102750,0
NIFTY,20160502,09:21,7800.30,7803.80,7800.25,7803.55,112275,0
NIFTY,20160502,09:22,7803.45,7804.10,7800.65,7802.40,56700,0
NIFTY,20160502,09:23,7802.20,7802.35,7789.45,7789.75,133125,0
NIFTY,20160502,09:24,7789.70,7794.40,7786.85,7794.40,123300,0
NIFTY,20160502,09:25,7794.20,7800.05,7793.95,7799.85,63525,0
NIFTY,20160502,09:26,7800.10,7800.60,7795.85,7800.20,72375,0
NIFTY,20160502,09:27,7800.65,7801.25,7794.65,7799.40,46950,0
NIFTY,20160502,09:28,7799.30,7803.20,7797.70,7803.10,36225,0
NIFTY,20160502,09:29,7803.00,7804.35,7800.45,7803.50,46350,0
NIFTY,20160502,09:30,7803.55,7805.40,7803.15,7805.40,55875,0
NIFTY,20160502,09:31,7805.10,7805.55,7799.15,7802.25,44325,0
NIFTY,20160502,09:32,7802.90,7803.10,7798.90,7801.30,55800,0
NIFTY,20160502,09:33,7800.95,7800.95,7798.55,7799.55,27900,0
NIFTY,20160502,09:34,7799.85,7799.85,7794.25,7794.85,48000,0
NIFTY,20160502,09:35,7794.95,7795.90,7791.50,7792.30,63675,0
NIFTY,20160502,09:36,7792.35,7792.35,7788.20,7789.70,74025,0
NIFTY,20160502,09:37,7789.40,7794.65,7789.40,7791.60,31575,0
NIFTY,20160502,09:38,7792.00,7794.80,7790.25,7790.80,28350,0
NIFTY,20160502,09:39,7790.85,7797.50,7790.85,7797.50,26325,0
NIFTY,20160502,09:40,7797.70,7799.05,7793.35,7796.85,57075,0
NIFTY,20160502,09:41,7797.80,7798.50,7796.45,7797.05,27525,0
NIFTY,20160502,09:42,7797.00,7797.95,7796.10,7797.45,28200,0
NIFTY,20160502,09:43,7797.10,7799.15,7796.40,7798.65,18675,0
NIFTY,20160502,09:44,7798.35,7800.55,7797.75,7797.90,33000,0
NIFTY,20160502,09:45,7798.20,7801.10,7798.10,7798.80,32700,0
NIFTY,20160502,09:46,7798.95,7799.45,7797.65,7798.30,25275,0
NIFTY,20160502,09:47,7798.05,7798.35,7794.20,7794.20,35700,0
NIFTY,20160502,09:48,7793.55,7793.55,7790.85,7792.40,32850,0
NIFTY,20160502,09:49,7792.20,7795.25,7791.60,7795.15,19575,0
NIFTY,20160502,09:50,7794.40,7794.45,7792.20,7792.75,17325,0
NIFTY,20160502,09:51,7792.65,7793.60,7791.70,7792.90,11250,0
NIFTY,20160502,09:52,7793.50,7793.50,7789.70,7790.00,21900,0
NIFTY,20160502,09:53,7790.05,7790.70,7787.95,7788.30,12450,0
NIFTY,20160502,09:54,7788.60,7793.75,7788.25,7793.75,24825,0
NIFTY,20160502,09:55,7793.65,7796.85,7793.20,7796.80,24375,0
NIFTY,20160502,09:56,7797.85,7801.25,7797.85,7799.85,33675,0
NIFTY,20160502,09:57,7800.35,7802.80,7799.35,7802.70,17400,0
NIFTY,20160502,09:58,7802.90,7803.85,7801.35,7801.80,37425,0
NIFTY,20160502,09:59,7801.75,7803.95,7801.05,7803.50,21450,0
NIFTY,20160502,10:00,7803.95,7804.25,7801.55,7802.40,15300,0
NIFTY,20160502,10:01,7802.30,7803.00,7800.85,7801.80,15525,0
NIFTY,20160502,10:02,7802.15,7802.15,7797.65,7797.95,23175,0
NIFTY,20160502,10:03,7797.40,7798.30,7796.95,7796.95,16350,0
NIFTY,20160502,10:04,7796.85,7797.50,7795.80,7796.30,17400,0
NIFTY,20160502,10:05,7796.25,7796.50,7794.75,7795.00,10275,0
NIFTY,20160502,10:06,7794.90,7795.20,7791.15,7791.15,28275,0
NIFTY,20160502,10:07,7791.35,7795.20,7790.80,7795.20,17775,0
NIFTY,20160502,10:08,7795.15,7797.70,7793.90,7797.70,14100,0
NIFTY,20160502,10:09,7797.40,7797.45,7796.10,7796.50,11850,0
NIFTY,20160502,10:10,7796.60,7799.55,7795.85,7799.15,30225,0
