Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
CANFINHOM, 20150127, 626.0, 626.0, 601.3, 610.35, 38375, 610.6475, 1233 
CANFINHOM, 20150128, 610.05, 637.0, 602.0, 628.35, 54635, 627.9175, 1568 
CANFINHOM, 20150129, 628.35, 634.0, 621.05, 625.7, 19320, 629.2825, 734 
CANFINHOM, 20150130, 620.9, 634.0, 610.0, 618.1, 15005, 623.42, 720 
CANFINHOM, 20150202, 620.1, 633.7, 620.0, 625.7, 15987, 626.5525, 710 
CANFINHOM, 20150203, 630.0, 633.4, 619.0, 622.4, 16205, 626.6325, 662 
CANFINHOM, 20150204, 623.45, 627.9, 613.0, 615.75, 11438, 618.9625, 563 
CANFINHOM, 20150205, 617.05, 627.85, 611.8, 618.15, 11204, 618.3425, 466 
CANFINHOM, 20150206, 616.75, 616.75, 586.05, 594.1, 19601, 596.7675, 789 
CANFINHOM, 20150209, 590.0, 607.1, 586.0, 591.05, 10698, 596.55, 663 
CANFINHOM, 20150210, 585.65, 612.7, 585.1, 603.1, 14555, 603.3875, 642 
CANFINHOM, 20150211, 609.0, 613.1, 590.1, 594.6, 10158, 599.635, 592 
CANFINHOM, 20150212, 598.2, 638.0, 596.0, 625.6, 33740, 618.555, 1201 
CANFINHOM, 20150213, 629.35, 629.8, 612.05, 616.9, 19330, 622.0525, 885 
CANFINHOM, 20150216, 618.8, 632.0, 604.85, 607.4, 25043, 617.1625, 836 
CANFINHOM, 20150218, 609.05, 613.85, 595.1, 603.45, 23155, 602.1475, 770 
CANFINHOM, 20150219, 607.35, 612.9, 601.0, 603.45, 19209, 604.8525, 594 
CANFINHOM, 20150220, 609.1, 625.4, 609.0, 618.2, 26185, 616.005, 1141 
CANFINHOM, 20150223, 624.0, 629.5, 610.6, 618.1, 23210, 621.1875, 919 
CANFINHOM, 20150224, 624.95, 624.95, 605.0, 609.5, 12287, 614.885, 485 
CANFINHOM, 20150225, 617.4, 618.0, 603.15, 606.45, 10139, 610.6425, 492 
CANFINHOM, 20150226, 608.0, 610.0, 592.0, 606.3, 13101, 604.27, 450 
CANFINHOM, 20150227, 609.4, 635.0, 603.5, 625.85, 20817, 618.8425, 681 
CANFINHOM, 20150228, 639.0, 643.8, 603.0, 608.8, 26877, 624.1875, 1076 
CANFINHOM, 20150302, 614.0, 627.95, 609.0, 624.65, 9257, 620.005, 405 
CANFINHOM, 20150303, 622.35, 631.95, 618.0, 629.7, 10639, 626.715, 461 
CANFINHOM, 20150304, 635.6, 640.0, 610.0, 615.3, 26789, 631.6875, 795 
CANFINHOM, 20150305, 619.5, 627.0, 615.0, 619.8, 13373, 621.61, 512 
CANFINHOM, 20150309, 625.0, 628.1, 605.8, 610.15, 11344, 616.0275, 458 
CANFINHOM, 20150310, 610.0, 620.0, 607.0, 611.95, 7929, 614.62, 349 
CANFINHOM, 20150311, 602.55, 631.8, 602.55, 624.65, 20875, 623.8775, 658 
