Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
KSCL, 20150127, 766.0, 766.0, 736.55, 740.55, 71661, 744.2425, 3575 
KSCL, 20150128, 741.0, 754.0, 725.6, 735.95, 93692, 742.9475, 5880 
KSCL, 20150129, 740.0, 750.0, 722.0, 736.6, 41150, 735.42, 1721 
KSCL, 20150130, 741.0, 742.15, 730.0, 732.45, 34470, 737.3325, 2118 
KSCL, 20150202, 732.85, 752.7, 732.85, 737.4, 45230, 741.0275, 1985 
KSCL, 20150203, 743.85, 773.8, 693.35, 759.3, 195727, 732.085, 8993 
KSCL, 20150204, 780.0, 844.0, 780.0, 837.0, 335901, 822.055, 8722 
KSCL, 20150205, 847.0, 893.0, 826.0, 870.1, 197538, 860.6425, 7461 
KSCL, 20150206, 867.0, 892.7, 861.95, 875.75, 71935, 876.0125, 3671 
KSCL, 20150209, 865.0, 868.25, 801.55, 816.6, 40528, 838.495, 2457 
KSCL, 20150210, 817.1, 888.9, 817.05, 880.5, 131603, 872.325, 4234 
KSCL, 20150211, 883.95, 899.65, 851.4, 860.1, 41324, 867.0925, 2525 
KSCL, 20150212, 864.0, 889.2, 863.5, 881.3, 44536, 875.7075, 2405 
KSCL, 20150213, 884.95, 909.7, 870.1, 901.3, 43055, 891.675, 4562 
KSCL, 20150216, 908.8, 916.2, 881.7, 898.8, 47651, 908.0925, 1956 
KSCL, 20150218, 904.25, 915.0, 892.25, 900.9, 36472, 905.4775, 1367 
KSCL, 20150219, 908.25, 910.0, 875.55, 882.45, 21426, 889.3575, 1367 
KSCL, 20150220, 880.65, 880.65, 863.0, 868.4, 17497, 874.0775, 1512 
KSCL, 20150223, 873.95, 874.0, 849.95, 856.15, 184703, 855.5925, 1167 
KSCL, 20150224, 858.8, 922.0, 852.3, 909.3, 117892, 908.6475, 4832 
KSCL, 20150225, 917.7, 953.95, 917.0, 939.25, 112233, 938.1675, 4224 
KSCL, 20150226, 940.0, 948.65, 898.0, 917.95, 69981, 922.955, 3365 
KSCL, 20150227, 922.5, 951.0, 915.35, 946.6, 77088, 939.4075, 2547 
KSCL, 20150228, 937.5, 937.5, 914.5, 920.15, 33528, 922.485, 1438 
KSCL, 20150302, 938.5, 947.95, 918.35, 939.25, 24679, 935.335, 2032 
KSCL, 20150303, 938.15, 949.9, 925.0, 946.2, 31390, 943.2175, 2226 
KSCL, 20150304, 947.65, 974.0, 934.0, 959.7, 48932, 962.435, 2789 
KSCL, 20150305, 964.55, 999.2, 959.75, 970.85, 39498, 980.2975, 1639 
KSCL, 20150309, 966.0, 1015.0, 960.95, 1004.95, 55382, 993.4675, 2786 
KSCL, 20150310, 1005.0, 1014.5, 948.15, 958.3, 41865, 974.005, 2293 
KSCL, 20150311, 963.0, 964.0, 938.0, 945.2, 25705, 945.96, 3150 
KSCL, 20150312, 950.0, 969.9, 940.0, 948.8, 17977, 952.9125, 2210 
KSCL, 20150313, 957.0, 957.0, 912.1, 920.2, 20971, 934.8325, 2045 
KSCL, 20150316, 922.6, 955.0, 909.35, 950.9, 54711, 941.9075, 3360 
KSCL, 20150317, 958.85, 960.05, 947.25, 956.15, 29413, 956.31, 2368 
KSCL, 20150318, 959.95, 978.0, 947.45, 961.7, 14382, 960.6725, 1120 
KSCL, 20150319, 967.25, 1046.0, 961.0, 1038.35, 135593, 1027.8475, 6512 
KSCL, 20150320, 1054.0, 1075.5, 1016.05, 1029.95, 126827, 1055.52, 5133 
KSCL, 20150323, 1029.95, 1062.9, 1029.95, 1050.85, 32900, 1047.525, 1856 
KSCL, 20150324, 1049.0, 1069.8, 1038.45, 1049.55, 21700, 1051.4175, 2378 
KSCL, 20150325, 1044.9, 1048.25, 1003.0, 1013.6, 36927, 1017.0, 1391 
KSCL, 20150326, 1013.7, 1043.0, 980.0, 987.85, 47636, 1009.445, 1434 
KSCL, 20150327, 975.0, 1049.0, 975.0, 1037.55, 35828, 1017.8175, 1933 
KSCL, 20150330, 1040.0, 1055.0, 995.0, 1004.7, 23878, 1019.865, 2080 
KSCL, 20150331, 1010.0, 1028.0, 975.2, 984.85, 73486, 994.5775, 2630 
KSCL, 20150401, 1000.0, 1029.95, 991.6, 1016.25, 28750, 1013.5775, 2120 
KSCL, 20150406, 1021.35, 1021.65, 981.1, 1007.95, 15363, 1006.6925, 887 
KSCL, 20150407, 1009.65, 1018.0, 990.9, 1008.45, 15706, 1001.9, 1081 
KSCL, 20150408, 1017.0, 1035.55, 1001.05, 1004.15, 21576, 1018.17, 1271 
KSCL, 20150409, 1009.0, 1023.95, 994.2, 1017.45, 18476, 1015.4575, 1596 
KSCL, 20150410, 1017.0, 1020.0, 1006.2, 1014.3, 62456, 1016.3375, 1059 
KSCL, 20150413, 1015.0, 1060.0, 1015.0, 1040.55, 59747, 1046.2625, 1807 
KSCL, 20150415, 1049.7, 1054.0, 999.95, 1006.75, 29993, 1022.73, 1474 
KSCL, 20150416, 1009.3, 1019.65, 978.25, 994.6, 38425, 996.2525, 1051 
KSCL, 20150417, 999.0, 999.0, 970.0, 975.45, 16248, 988.375, 1323 
KSCL, 20150420, 982.55, 989.9, 945.05, 959.15, 12534, 964.8575, 773 
KSCL, 20150421, 961.65, 979.8, 949.05, 953.7, 11085, 959.885, 855 
KSCL, 20150422, 957.15, 965.0, 935.2, 949.55, 23569, 949.525, 1067 
KSCL, 20150423, 963.8, 974.2, 949.55, 963.6, 40761, 963.515, 2002 
KSCL, 20150424, 957.45, 960.0, 906.0, 908.7, 43285, 918.7, 3024 
KSCL, 20150427, 910.0, 911.95, 850.05, 873.7, 80650, 858.8025, 2861 
KSCL, 20150428, 839.75, 858.7, 832.25, 851.45, 32942, 844.9, 1713 
KSCL, 20150429, 852.95, 897.0, 852.35, 882.4, 21516, 880.5375, 1153 
