Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
CANFINHOM, 2016-01-18 09:15:00, 950.0, 950.0, 945.0, 949.95, 500, 947.0, 3 
CANFINHOM, 2016-01-18 09:16:00, 950.0, 954.9, 945.25, 952.05, 149, 952.055, 12 
CANFINHOM, 2016-01-18 09:18:00, 946.65, 950.0, 946.65, 947.0, 71, 949.63, 4 
CANFINHOM, 2016-01-18 09:20:00, 948.0, 950.0, 948.0, 948.0, 95, 948.145, 4 
CANFINHOM, 2016-01-18 09:22:00, 948.0, 950.0, 946.0, 946.0, 172, 946.99, 8 
CANFINHOM, 2016-01-18 09:24:00, 946.0, 946.05, 945.2, 946.0, 219, 946.0, 9 
CANFINHOM, 2016-01-18 09:26:00, 946.0, 953.0, 946.0, 953.0, 405, 946.465, 6 
CANFINHOM, 2016-01-18 09:28:00, 946.0, 995.0, 945.0, 953.1, 99, 959.205, 5 
CANFINHOM, 2016-01-18 09:30:00, 964.95, 977.05, 951.5, 965.0, 139, 959.06, 16 
CANFINHOM, 2016-01-18 09:32:00, 975.0, 975.05, 965.05, 974.95, 230, 974.87, 13 
CANFINHOM, 2016-01-18 09:34:00, 963.5, 965.05, 963.5, 964.8, 67, 964.92, 5 
CANFINHOM, 2016-01-18 09:36:00, 960.65, 960.65, 955.0, 955.0, 42, 956.135, 4 
CANFINHOM, 2016-01-18 09:38:00, 955.0, 955.0, 950.95, 950.95, 29, 954.005, 5 
CANFINHOM, 2016-01-18 09:40:00, 947.5, 948.0, 947.5, 948.0, 104, 947.985, 2 
CANFINHOM, 2016-01-18 09:42:00, 950.25, 950.25, 949.0, 949.0, 91, 949.015, 4 
CANFINHOM, 2016-01-18 09:44:00, 949.0, 949.0, 949.0, 949.0, 4, 949.0, 1 
CANFINHOM, 2016-01-18 09:46:00, 949.0, 952.1, 949.0, 952.1, 33, 949.095, 3 
CANFINHOM, 2016-01-18 09:48:00, 949.05, 951.0, 948.0, 948.0, 232, 948.44, 7 
CANFINHOM, 2016-01-18 09:50:00, 947.0, 948.0, 946.2, 947.0, 137, 946.945, 7 
CANFINHOM, 2016-01-18 09:52:00, 947.0, 948.0, 947.0, 948.0, 284, 947.22, 6 
CANFINHOM, 2016-01-18 09:54:00, 948.0, 949.95, 946.95, 949.95, 240, 947.48, 6 
CANFINHOM, 2016-01-18 09:56:00, 949.95, 949.95, 949.95, 949.95, 0, 949.95, 0 
CANFINHOM, 2016-01-18 09:58:00, 949.85, 949.85, 946.0, 946.0, 199, 946.245, 7 
CANFINHOM, 2016-01-18 10:00:00, 946.0, 946.0, 940.0, 940.0, 86, 943.075, 7 
CANFINHOM, 2016-01-18 10:02:00, 936.5, 939.4, 933.0, 934.5, 26, 936.44, 6 
