Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
KSCL, 2016-01-18 09:15:00, 326.0, 329.7, 326.0, 327.9, 839, 327.83, 9 
KSCL, 2016-01-18 09:16:00, 327.9, 327.9, 321.2, 326.35, 1150, 324.1, 26 
KSCL, 2016-01-18 09:18:00, 326.4, 326.4, 318.45, 318.45, 1279, 322.83, 22 
KSCL, 2016-01-18 09:20:00, 318.0, 321.95, 317.25, 320.1, 3860, 319.22, 27 
KSCL, 2016-01-18 09:22:00, 319.15, 321.45, 319.1, 319.8, 1935, 320.515, 28 
KSCL, 2016-01-18 09:24:00, 320.85, 320.85, 315.15, 316.9, 1034, 317.275, 30 
KSCL, 2016-01-18 09:26:00, 316.95, 317.8, 316.9, 317.8, 670, 317.17, 26 
KSCL, 2016-01-18 09:28:00, 317.8, 320.6, 317.15, 319.55, 1048, 318.41, 31 
KSCL, 2016-01-18 09:30:00, 319.5, 319.7, 314.95, 314.95, 1356, 318.36, 34 
KSCL, 2016-01-18 09:32:00, 315.0, 316.7, 313.0, 316.0, 1375, 315.125, 28 
KSCL, 2016-01-18 09:34:00, 316.75, 317.85, 315.5, 315.7, 972, 316.67, 32 
KSCL, 2016-01-18 09:36:00, 315.2, 315.2, 312.7, 314.55, 1715, 314.375, 37 
KSCL, 2016-01-18 09:38:00, 314.45, 314.8, 313.8, 313.85, 388, 314.28, 35 
KSCL, 2016-01-18 09:40:00, 314.05, 314.05, 311.55, 312.65, 1897, 313.39, 32 
KSCL, 2016-01-18 09:42:00, 312.75, 313.2, 310.5, 312.8, 869, 312.055, 35 
KSCL, 2016-01-18 09:44:00, 312.8, 314.25, 312.8, 313.1, 702, 313.31, 27 
KSCL, 2016-01-18 09:46:00, 313.1, 313.95, 311.35, 313.95, 302, 312.98, 25 
KSCL, 2016-01-18 09:48:00, 313.95, 314.15, 313.4, 313.65, 1269, 313.72, 18 
KSCL, 2016-01-18 09:50:00, 313.7, 313.85, 312.85, 313.75, 1029, 313.415, 29 
KSCL, 2016-01-18 09:52:00, 313.7, 315.0, 301.55, 315.0, 1531, 310.005, 47 
KSCL, 2016-01-18 09:54:00, 315.0, 318.3, 315.0, 316.65, 1800, 316.615, 43 
KSCL, 2016-01-18 09:56:00, 317.1, 318.75, 315.8, 316.2, 1439, 316.835, 48 
KSCL, 2016-01-18 09:58:00, 316.3, 317.5, 313.75, 314.95, 1222, 315.975, 40 
KSCL, 2016-01-18 10:00:00, 315.35, 316.2, 314.75, 315.1, 690, 315.49, 33 
KSCL, 2016-01-18 10:02:00, 315.2, 315.85, 314.3, 315.6, 1424, 315.28, 54 
KSCL, 2016-01-18 10:04:00, 315.4, 317.3, 315.15, 317.2, 1933, 316.375, 59 
KSCL, 2016-01-18 10:06:00, 317.2, 317.2, 314.5, 314.5, 1835, 315.785, 51 
KSCL, 2016-01-18 10:08:00, 314.5, 315.5, 314.0, 314.15, 610, 314.69, 41 
KSCL, 2016-01-18 10:10:00, 314.15, 314.35, 312.0, 314.3, 705, 313.305, 43 
KSCL, 2016-01-18 10:12:00, 314.25, 316.5, 314.25, 315.7, 1211, 315.885, 49 
KSCL, 2016-01-18 10:14:00, 315.95, 315.95, 314.0, 314.0, 990, 314.95, 36 
KSCL, 2016-01-18 10:16:00, 315.1, 315.45, 314.5, 315.15, 530, 314.98, 31 
KSCL, 2016-01-18 10:18:00, 315.15, 315.3, 314.5, 314.7, 771, 314.955, 33 
KSCL, 2016-01-18 10:20:00, 314.6, 315.0, 314.3, 314.55, 396, 314.71, 33 
KSCL, 2016-01-18 10:22:00, 314.75, 315.2, 314.25, 315.2, 867, 314.755, 22 
KSCL, 2016-01-18 10:24:00, 315.35, 318.8, 314.75, 318.5, 1543, 317.68, 69 
